"Id","Label","Degree","Betweenness","Expression"
"7251","TSG101",12,11031.55,0
"4841","NONO",12,10832.93,0
"972","CD74",12,10733.81,1.7294
"24144","TFIP11",12,10570.65,0.52142
"5316","PKNOX1",12,10457.82,0.45711
"26270","FBXO6",12,10229.34,0
"841","CASP8",12,10097.12,0
"22883","CLSTN1",12,10023.21,0.61686
"7846","TUBA1A",12,9706.14,0
"1108","CHD4",12,9567.94,0
"1869","E2F1",12,9332.76,0
"23589","CARHSP1",12,9323.78,0.97814
"7321","UBE2D1",12,9044.07,0
"203068","TUBB",12,8804.7,0
"8841","HDAC3",12,8496.55,0
"3313","HSPA9",12,7710.48,0
"1025","CDK9",12,5535.16,0
"5914","RARA",12,5472.93,0
"6929","TCF3",12,5298.47,0
"51018","RRP15",12,5074.5,0.56636
"6908","TBP",12,4815.73,0
"6732","SRPK1",12,3643.89,0
"3981","LIG4",12,3471.27,0
"9672","SDC3",12,2705.71,0.60333
"387082","SUMO4",12,1828.67,0
"2035","EPB41",12,1393.56,0
"10921","RNPS1",12,1380.87,0
"6863","TAC1",11,41581.24,0.44228
"4147","MATN2",11,35169.29,-0.58263
"1525","CXADR",11,29061.3,-0.50153
"669","BPGM",11,23606.96,0.51052
"26353","HSPB8",11,23117.35,-0.84297
"51454","GULP1",11,22229.55,0.70395
"5468","PPARG",11,21772.33,0
"5365","PLXNB3",11,21445.38,0.4296
"7186","TRAF2",11,20390.93,0
"11051","NUDT21",11,19706.37,0
"4175","MCM6",11,18852.3,0
"4092","SMAD7",11,18593.59,0
"5190","PEX6",11,17348.38,0.55493
"6752","SSTR2",11,16693.48,0.42795
"5270","SERPINE2",11,16054.77,0.88591
"7917","BAG6",11,15514.18,0
"56965","PARP6",11,14936.79,0.47001
"2908","NR3C1",11,13958.14,0
"6566","SLC16A1",11,13543.46,0.59245
"3091","HIF1A",11,13157.88,0
"7161","TP73",11,12941.76,0
"8290","HIST3H3",11,12442.12,0
"1642","DDB1",11,11916,0
"84171","LOXL4",11,11214.93,0.47435
"6622","SNCA",11,11011.55,0
"22950","SLC4A1AP",11,10901.53,0.48776
"5939","RBMS2",11,9737.63,0.57493
"1029","CDKN2A",11,9349.09,0
"9219","MTA2",11,8735.05,0
"5159","PDGFRB",11,8607.42,0
"81631","MAP1LC3B",11,8262.92,0
"4705","NDUFA10",11,8087.45,0.70254
"5451","POU2F1",11,8004.66,0
"22827","PUF60",11,7513.3,0
"2309","FOXO3",11,7462.87,0
"1937","EEF1G",11,7454.51,0
"1460","CSNK2B",11,7285.44,0
"2113","ETS1",11,7126.38,0
"9146","HGS",11,6703.61,0
"63898","SH2D4A",11,6184.49,0.43833
"4478","MSN",11,5997.92,0
"23406","COTL1",11,5855.94,0.87534
"1432","MAPK14",11,5778.97,0
"10291","SF3A1",11,5635.82,0
"9759","HDAC4",11,5608.37,0
"7529","YWHAB",11,5412.82,0
"23043","TNIK",11,5411.19,0
"604","BCL6",11,5293.65,0
"56893","UBQLN4",11,5046.65,0
"5931","RBBP7",11,4598.28,0
"1981","EIF4G1",11,4434.13,0
"9978","RBX1",11,4427.85,0
"7150","TOP1",11,4152.97,0
"5093","PCBP1",11,4095.05,0
"4501","MT1X",11,3838.55,0.69228
"10250","SRRM1",11,3648.94,0
"55791","LRIF1",11,3315.63,0
"8349","HIST2H2BE",11,3206.73,0
"11345","GABARAPL2",11,3169.46,0
"7764","ZNF217",11,2879.09,0.40409
"6627","SNRPA1",11,2787.38,0
"6428","SRSF3",11,2210.19,0
"24140","FTSJ1",11,1742.28,0
"54386","TERF2IP",11,1445.25,0
"78987","CRELD1",11,1437.19,0.41536
"91544","UBXN11",10,33247.84,0.47535
"55534","MAML3",10,26481.42,0.53154
"390","RND3",10,25735.27,1.0047
"356","FASLG",10,18526.92,0
"5879","RAC1",10,18426.61,0
"7857","SCG2",10,17967.28,0.44007
"11100","HNRNPUL1",10,15439.48,0
"7409","VAV1",10,15126.71,0
"5728","PTEN",10,15101.16,0
"10797","MTHFD2",10,15036.74,0.78264
"2923","PDIA3",10,14938.76,0
"22866","CNKSR2",10,14872.83,0.52206
"23332","CLASP1",10,14827.4,0.39738
"10013","HDAC6",10,14493.31,0
"5154","PDGFA",10,14340.73,0.65101
"8476","CDC42BPA",10,13738.57,0.50149
"3855","KRT7",10,13020.88,0.48409
"25805","BAMBI",10,12951.93,0.76915
"64770","CCDC14",10,11498.3,0.45388
"9060","PAPSS2",10,10825.48,0.56282
"5599","MAPK8",10,10492.89,0
